metabolite,pathway
(2-oxo-2_3-dihydro-1H-indol-3-yl)acetic acid,Tryptophan Metabolism
(Z)-3-Hydroxyoctadec-7-enoic acid,Fatty Acid Metabolism
1 5 Anhydro D glucitol,Glycolysis / Gluconeogenesis
1 Methyladenosine,Purine Metabolism
1 Methylhistidine,Amino Acid Metabolism
1 Methyluric acid,Purine Metabolism
14 Z Eicosenoic acid,Fatty Acid Metabolism
16 Hydroxyhexadecanoic acid,Fatty Acid Metabolism
2 Aminoadipic acid,Amino Acid Metabolism
2 Hydroxy 2 methylbutyric acid,Valine Leucine Isoleucine Degradation
2 Hydroxycaproic acid,Fatty Acid Metabolism
2 Hydroxyhippuric acid,Phenylalanine Metabolism
2 Oxobutyric acid,Amino Acid Metabolism
2-HYDROXYBUTYRIC ACID,Butanoate Metabolism
20 Dihydrocortisol,Steroid Hormone Biosynthesis
3 4 Hydroxyphenyl propionic acid,Phenylalanine Metabolism
3 5 9 3 6 19 Trihydroxyurs 12 en 28 oic acid,Steroid Hormone Biosynthesis
3 Hydroxy 2 methylpyridine,Vitamin B6 Metabolism
3 Hydroxybutyric acid,Butanoate Metabolism
3 Hydroxypyridine,Nicotinate and Nicotinamide Metabolism
3 Indoxyl sulphate,Tryptophan Metabolism
3 Methylxanthine,Purine Metabolism
3-HYDROXYBUTANOIC ACID,Butanoate Metabolism
3-Hydroxysebacic acid,Fatty Acid Metabolism
3-Indoleacetic acid,Tryptophan Metabolism
4 Acetamidobutanoic acid,Amino Acid Metabolism
4 Methylphenol,Phenylalanine Metabolism
4-Hydroxyhippuric acid,Purine Metabolism
4-Pyridoxic acid,Vitamin B6 Metabolism
4-methyl-2-oxopentanoic acid,Valine Leucine Isoleucine Degradation
5-Hydroxy-3-indoleacetic acid,Tryptophan Metabolism
9 Z 11 E Conjugated linoleic acid,Fatty Acid Metabolism
ACar 10:1_1.716,Fatty Acid Degradation
ACar 14:1_2.69,Fatty Acid Degradation
ACar 18:1_5.513,Fatty Acid Degradation
ACar 18:2_4.139,Fatty Acid Degradation
ARGININE,Amino Acid Metabolism
Acesulfame,Drug Metabolism
Acetaminophen glucuronide,Drug Metabolism
Acetoacetanilide,Butanoate Metabolism
Acetyl L carnitine,Amino Acid Metabolism
Acetylcholine,Glycerophospholipid Metabolism
AcylGlcADG 54:1@24.827,Glycerolipid Metabolism
AcylGlcADG 56:1@24.967,Glycerolipid Metabolism
Adenosine,Purine Metabolism
Adrenic acid,Fatty Acid Metabolism
Alanine,Amino Acid Metabolism
Allantoin,Purine Metabolism
Allopurinol,Purine Metabolism
Arachidic acid,Fatty Acid Metabolism
Arachidonic acid,Fatty Acid Metabolism
Atorvastatin,Drug Metabolism
Azithromycin,Drug Metabolism
Benzoic acid,Phenylalanine Metabolism
Betaine,Amino Acid Metabolism
Bilirubin,Porphyrin and Chlorophyll Metabolism
CE 16:0_24.802,Steroid Hormone Biosynthesis
CE 16:1_24.428,Steroid Hormone Biosynthesis
CE 18:1_24.767,Steroid Hormone Biosynthesis
CE 18:2_24.45,Steroid Hormone Biosynthesis
CE 18:3_24.18,Steroid Hormone Biosynthesis
CE 20:3_24.516,Steroid Hormone Biosynthesis
CE 20:4_24.252,Steroid Hormone Biosynthesis
CE 20:5_23.975,Steroid Hormone Biosynthesis
CE 22:4_24.553,Steroid Hormone Biosynthesis
CE 22:5_24.335,Steroid Hormone Biosynthesis
CE 22:6_24.09,Steroid Hormone Biosynthesis
CITRAMALATE,TCA Cycle
CMPF,Fatty Acid Metabolism
CREATININE,Amino Acid Metabolism
Caprolactam,Fatty Acid Metabolism
Caprylic acid,Fatty Acid Metabolism
Cer_NS d17:1_18:0@18.419,Sphingolipid Metabolism
Cer_NS d18:1_16:0_17.788,Sphingolipid Metabolism
Cer_NS d18:1_18:0_18.975,Sphingolipid Metabolism
Cer_NS d18:1_20:0_20.008,Sphingolipid Metabolism
Cer_NS d18:1_22:0_20.889,Sphingolipid Metabolism
Cer_NS d18:1_23:0_21.288,Sphingolipid Metabolism
Cer_NS d18:1_24:0_21.657,Sphingolipid Metabolism
Cer_NS d18:1_24:1_20.867,Sphingolipid Metabolism
Cer_NS d18:1_25:0_22.003,Sphingolipid Metabolism
Cer_NS d18:1_26:1@21.593,Sphingolipid Metabolism
Cer_NS d18:2_16:0_16.67,Sphingolipid Metabolism
Cer_NS d18:2_22:0_20.172,Sphingolipid Metabolism
Cer_NS d18:2_23:0_20.666,Sphingolipid Metabolism
Cer_NS d18:2_24:1_20.136,Sphingolipid Metabolism
Cer_NS d18:2_24:2@19.354,Sphingolipid Metabolism
Cer_NS d19:1_24:0_21.876,Sphingolipid Metabolism
Cer_NS d19:1_24:1_21.097,Sphingolipid Metabolism
Cer_NS d20:1_22:0@21.168,Sphingolipid Metabolism
Cer_NS d26:2_17:0@21.238,Sphingolipid Metabolism
Cer_NS d32:1@16.469,Sphingolipid Metabolism
Cer_NS d33:1@17.154,Sphingolipid Metabolism
Cer_NS d34:1@17.798,Sphingolipid Metabolism
Cer_NS d34:2@16.699,Sphingolipid Metabolism
Cer_NS d36:1@18.99,Sphingolipid Metabolism
Cer_NS d36:2@18.023,Sphingolipid Metabolism
Cer_NS d37:1@19.53,Sphingolipid Metabolism
Cer_NS d38:1@20.011,Sphingolipid Metabolism
Cer_NS d38:2@19.182,Sphingolipid Metabolism
Cer_NS d39:1@20.504,Sphingolipid Metabolism
Cer_NS d40:1@20.896,Sphingolipid Metabolism
Cer_NS d40:2@20.033,Sphingolipid Metabolism
Cer_NS d40:2@20.183,Sphingolipid Metabolism
Cer_NS d40:3@19.204,Sphingolipid Metabolism
Cer_NS d41:1@21.162,Sphingolipid Metabolism
Cer_NS d41:1@21.3,Sphingolipid Metabolism
Cer_NS d41:2@20.459,Sphingolipid Metabolism
Cer_NS d41:2@20.645,Sphingolipid Metabolism
