sample_id,condition,LPC 20:4/0:0,LPC 20:0/0:0,unknown_metabolite,unknown_metabolite_1,LPC 17:0/0:0,LPC 18:2/0:0,1-Methyladenosine,1-Methylguanosine,LPC 14:0,LPC 18:1/0:0,LPC 16:1/0:0,LPC 16:0/0:0,LPC 18:0/0:0,alpha-Aminoadipic acid,unknown_metabolite_2,Deoxycytidine,LPE 0:0/22:6,unknown_metabolite_3,CAR 4:0;2Me,LPC 0:0/16:0,LPC 18:0,3-Dehydrocarnitine,3-Methylcrotonylglycine,CAR DC5:0;3Me,Ureidopropionic acid,4-Acetamidobutanoic acid,4-Guanidinobutanoic acid,5'-Methylthioadenosine,Pyroglutamic acid,7-Methylguanine,CAR 2:0,Adenosine,Alanine,AMP,2-Aminobenzoic acid,Arginine,Betaine,CAR 4:0,N-Butyrylglycine,Carnitine,C-Glycosyltryptophan,Choline,Citrulline,Corticosterone,Creatine,Creatinine,S-Glutathionyl-cysteine,Cytidine,3-Dehydroxycarnitine,Dimethylarginine,Ectoine,Ergothioneine,gamma-Glutamylalanine,gamma-Glutamylglutamine,gamma-Glutamylisoleucine,gamma-Glutamylleucine,gamma-Glutamylmethionine,gamma-Glutamylphenylalanine,gamma-Glutamyltryptophan,gamma-Glutamyltyrosine,gamma-Glutamylvaline,Glutamine,Oxidized glutathione,sn-Glycero-3-phosphocholine,Gly-Val,Heme,CAR 6:0,Homocitrulline,(S)-Homostachydrine,unknown_metabolite_4,Imidazole propanoate,CAR 3:0;2Me,Isoleucine,CAR 4:0;3Me,Kynurenine,CAR 12:0,Leucine,unknown_metabolite_5,Methionine,N6-Carbamoyl-L-threonyladenosine,N-Acetyl-beta-alanine,N-Acetylisoleucine,N-Acetylleucine,N(5)-Acetyl-ornithine,Niacinamide,CAR 8:0,CAR 18:1(9Z),Ophthalmic acid,CAR 16:0,Pantothenic acid,Phenylalanine,Pipecolic acid,Proline,Pro-hydroxyPro,CAR 3:0,Serotonin,Sphinganine,Sphingosine,Stachydrine,CAR DC4:0,unknown_metabolite_6,unknown_metabolite_7,Tiglylglycine,Urocanic acid,Tryptophan,Tyrosine,Valine,Xanthosine,unknown_metabolite_8
31,Hypoxia,2084194.0,,3865462.75,364824.7188,349026.7813,8653759.0,44724.1094,28803.1406,161117.1875,2418135.25,500346.3125,12414785,6478152.0,353726.1563,194208.5469,203252.5625,480768.375,891141.25,87808.2969,1758493.75,543702.0625,1027399.25,67700.4062,56008.6602,32751.5898,39714.4492,28566.6016,56223.7383,1590259.75,92261.5469,5331417.0,23358.8203,616470.25,14893.6104,17103.5195,606867.9375,1374400.25,364692.8125,207255.6719,4737347.0,50829.4883,2354899.5,433767.5,405727.125,6124689.0,125407.3438,711826.25,353953.0313,304289.9375,451184.375,55546.3203,120472.1719,144813.5938,162882.4063,185574.0625,697704.0,,343675.75,55369.6992,230327.5156,214708.1875,1855415.75,773709.375,1024244.813,38458.1797,1539260.75,212905.1094,99162.1562,54307.5586,92836.8281,,83686.5703,27185036,140717.7656,518631.9375,108821.9609,33511324,217021.9844,6132862.0,18951.1992,144065.9844,75225.7188,401285.9375,418211.6563,515845.8438,55527.3047,412805.0,61191.2266,502829.25,939125.6875,26424416,1020915.25,5747125.0,382247.125,440563.7813,2271976.25,152364.4063,269737.6875,160306.8906,65832.2031,13970105.0,75460.8594,85603.2812,290787.2813,23877240,10166545,26389118,36673.75,
32,Hypoxia,2140221.75,110224.4063,6117347.5,,675306.25,14904330.0,50448.2891,27884.9199,499095.6875,3757840.75,982269.9375,23683436,16967702.0,544861.75,487741.375,158838.3906,533366.75,1548498.125,123979.0078,2883895.75,1070659.25,920236.25,112592.2188,86507.3906,93169.8672,47726.1211,,53852.5508,1357682.75,92097.9297,5711042.5,14106.0596,553646.25,,17446.9707,571419.9375,1130438.25,562097.875,362249.875,3840802.25,62654.2422,2402848.25,235112.4063,448140.0,6067575.5,144297.5781,265832.0625,228261.8438,236173.9219,986086.125,65171.7383,36785.3086,129813.3672,93865.9609,195855.7969,588121.3125,28691.1191,280793.2188,51439.2695,283793.625,233139.4375,1620526.375,758946.5,570656.25,28804.8906,2905462.5,592664.625,60683.6445,70968.25,83898.7188,,135320.7969,25422326,154008.6719,423165.2188,359254.9688,38299680,760716.6875,5105321.5,27430.6191,142054.875,110673.3984,468860.1875,85816.5,533788.3125,198658.8125,1834002.75,79656.7812,2013105.875,945997.0625,26248646,943471.75,3585565.25,234406.7813,423391.3438,1918190.625,563708.625,1098975.375,189124.7969,67319.1328,9435432.0,65759.25,219800.6563,304349.5313,13144603,8536448,25054132,29816.8301,
34,Hypoxia,1808815.25,44310.3281,3856421.75,320797.9688,92184.5078,10954607.0,65085.8516,30855.2598,245091.4531,1561287.25,564950.0,13197287,3504575.75,390142.4688,373330.2813,128103.0781,785274.3125,971736.4375,124266.3672,1834199.875,201746.7344,686799.5625,104849.0703,92819.8906,64497.8008,31144.4297,39940.4414,51096.3164,1454435.375,39317.1914,3787801.5,22282.3203,564523.75,,35023.8086,585419.4375,1113701.375,459730.75,319175.1563,3795539.75,62231.1094,2456772.25,261701.7813,463473.9063,5694081.0,211512.75,287777.9688,221016.7344,199515.8125,759315.75,100666.1719,38497.8086,132932.125,59435.0391,165948.4688,666184.375,19667.9004,340341.7188,45588.7188,284945.375,222801.2344,1387096.125,736224.0625,817667.125,26363.6895,1312673.5,290487.5938,50763.7188,35251.7617,51754.7891,40583.8203,99984.3906,23077098,168820.2813,543572.25,92979.9766,33011250,668189.5625,5644709.5,17827.1309,178017.7344,88086.0312,512063.2188,85534.5078,349800.0625,91863.6797,566131.8125,74932.8203,748164.3125,1282260.0,24911938,772503.4375,3202645.75,174055.4063,398286.125,2443841.75,184824.2969,301985.75,174404.6094,45180.3203,15262580.0,118067.4375,187395.8906,381963.125,23675390,9905584,24399710,41210.9883,
35,Hypoxia,1450876.5,,3285264.0,211887.625,153915.9844,9158716.0,47390.9688,49449.5781,169134.2969,1994542.25,684036.375,15006273,6095740.0,482464.4375,153540.7969,144919.0469,303077.9688,749595.75,161880.4531,1222889.0,270582.0,1308405.5,96240.8438,223610.4219,93957.7031,32965.7188,14108.4805,90774.1328,1465421.875,63050.9688,8938867.0,14698.7412,639655.1875,,,704699.0,1569991.75,830263.5625,401222.4375,2840287.5,58740.25,2452095.75,219323.0,594176.0625,7161380.0,182522.6563,385326.375,278683.9063,165267.8906,983678.3125,105335.8906,67407.2969,41976.1484,30862.4707,172583.6563,579853.5625,,322757.0625,61925.3594,309435.75,187290.2344,1289785.625,1253377.375,390022.0625,30030.6191,1855883.625,466321.375,59594.2422,35573.5703,110636.2422,,190734.7813,19710104,209076.9063,598408.4375,70962.2969,28742706,610936.4375,5267080.5,29553.9609,173850.2969,79922.9531,488529.5938,131120.0156,484005.5,154124.9219,538060.625,208452.9375,669420.625,1626111.125,23975786,726723.875,3689925.0,269811.9375,911706.875,2206139.0,269862.25,369854.3125,158243.75,76428.7578,12447777.0,343148.3438,143989.9844,524632.3125,21482832,11098055,21320692,51677.8711,
42,Hypoxia,2232387.5,71340.4297,3804858.0,288666.0938,149396.7031,7346311.0,54687.5742,21826.1992,202377.9063,2247355.0,487834.75,11641999,5610078.5,280720.6875,243506.6094,280135.0625,350025.1563,631752.375,107479.2891,1512848.25,418753.6875,1783483.75,41890.0586,38565.6289,47966.4414,27419.1406,44370.2812,42474.3789,1332767.625,56273.5391,3480171.0,25279.2695,959919.9375,14185.8496,38285.3984,638724.8125,1412140.375,351362.5313,143576.8125,4274756.5,42126.3047,2015879.5,445687.25,581053.6875,4758276.5,168377.2344,724571.9375,358072.9063,313895.3125,465564.5938,148767.7969,158406.0156,262418.2813,162701.3906,126252.3828,511825.5,46334.7383,380894.3125,42368.5,247337.75,149245.5469,1498045.25,673418.1875,802304.375,18218.9395,827010.25,172416.7656,100054.0938,244523.7031,60466.3906,33810.0312,116004.8125,22119270,138165.7656,648705.75,40100.6094,29124938,79656.5234,7928424.5,17164.2793,152892.8438,54654.4219,327538.8125,540272.125,481890.1875,77635.1172,315099.1875,35689.6094,338034.5938,658015.0625,27203166,1244192.25,6118320.5,186385.5781,446696.6875,1695350.625,94384.7734,123930.3906,1206616.75,49625.1406,6520197.5,1295858.25,42719.7539,262776.0,27335798,13939688,22968090,32586.2891,
43,Hypoxia,1657345.375,,2543707.0,235062.9219,,6939002.0,73998.7031,26048.502,121839.8594,1392400.125,331404.6563,8971615,3369410.5,282280.9688,160433.9063,204143.9531,128146.5703,657889.1875,92356.6094,1027226.813,98002.0938,1429019.625,34122.1016,42483.0898,102289.7031,,59428.5898,45302.5391,1220104.75,58801.5898,1221763.375,22078.6309,881809.0625,,25442.8496,730021.4375,1182994.125,207688.4844,104039.4219,3578058.0,47012.3711,1930465.25,215179.7813,372778.3125,3809573.75,216469.5469,239953.9375,186622.4375,274450.1875,1070842.25,186754.7969,51888.832,251815.0938,99652.5391,160972.6094,588966.5625,72948.6719,403076.2813,60302.3281,267683.6563,213177.2344,1096523.75,524296.6875,1012549.188,,188742.0625,63566.8789,45856.2109,344716.3125,45744.8984,,107887.8516,22664960,133344.4219,753103.4375,25887.3008,29808548,37277.7617,7888027.0,12471.5195,125540.6484,69648.0469,399710.7813,173837.5156,294183.4375,22343.0918,171861.8125,38611.8281,184589.1719,566616.75,28956886,717245.4375,4323508.5,87630.4375,388113.4063,2397797.5,57055.2617,74611.6875,1203262.125,34860.8594,12536888.0,533565.625,18786.4707,270697.2813,30938898,15096242,21314506,26511.3105,
44,Hypoxia,1287738.5,,2459918.0,,82272.3281,6383482.5,53537.9492,17124.4707,82603.7969,1754602.5,383399.5,10530868,3504686.0,286461.3125,,190690.5781,234020.3906,401726.0625,112854.6953,898059.75,212592.6563,1882178.875,43090.5508,29639.1602,59852.8594,26642.4805,42610.3594,52502.8789,1187251.5,34209.5703,2145274.0,29769.5605,988984.625,,18406.8398,830995.75,1099089.25,295817.0938,125802.1406,3901349.75,54973.3594,1920724.75,270987.5625,412378.625,4474102.5,92420.7109,243593.8594,206230.0156,233283.2344,1440757.625,150487.6563,35863.1914,253899.7344,147094.3438,143688.1406,601765.25,146587.6875,369928.125,42062.7617,234582.375,183121.2031,1692165.25,539544.6875,782411.0625,20790.1992,614191.25,128175.3828,51962.9609,138618.1719,55257.0312,30921.5801,87469.5234,23084476,191813.2188,824762.25,34178.0195,33480232,56386.0312,7557169.0,20801.6191,130551.4922,71558.7031,503207.5938,174301.4375,229118.2969,59505.9609,320237.2188,29130.9102,316148.125,679604.4375,30584108,814149.5,4217059.0,84217.8984,510300.0625,2549264.25,91795.5,131945.2969,689241.9375,36861.8398,18256320.0,638579.3125,47843.0898,240998.0156,26543884,12972268,21794070,14105.7998,
45,Hypoxia,3827081.75,109735.9766,7260219.5,787013.125,1237852.875,11840601.0,33271.2188,24556.9707,323825.5313,6066679.5,1082473.75,17766656,12892090.0,339529.3438,618017.9375,306692.375,616374.9375,1543264.5,144649.3438,3653334.75,1650945.125,1820514.625,67076.3672,41053.5625,90713.7812,53773.9688,114081.3281,32566.9922,1360341.0,36006.6211,1686792.375,21806.9395,1489903.375,12778.4004,21288.5,763237.25,1278555.5,240090.9063,152064.5938,3869391.25,45553.6719,1913869.25,534654.4375,690803.0625,5859657.5,253204.2969,731892.1875,288914.6875,366993.0625,461896.0938,343221.1875,220507.0313,356103.8125,185669.0313,138385.5625,572605.0,63006.5703,448785.75,71522.0469,314303.4063,178481.8125,1401462.125,671729.5,1092273.75,43170.5508,3846661.5,51303.8008,125237.0391,465074.7813,58119.5508,66788.1172,134978.3906,23023108,190677.625,877862.6875,72144.6484,29892886,15341.3809,11215904.0,16260.2109,156972.0781,111335.7734,679514.9375,738597.0,566040.4375,30130.2793,596069.9375,39467.2109,682178.4375,886807.75,31961812,1555848.0,9199525.0,237150.5625,548081.4375,24430.4297,183711.2344,570665.1875,2145286.5,49817.3398,131612.0938,323211.2188,46038.5586,437365.1563,36181172,18949314,27104600,28497.3105,
37,Normoxia,2759397.0,97774.5781,4160042.25,1627996.75,166799.8438,10289537.0,32214.918,44247.0586,255108.9375,2138430.5,638756.125,10270484,5214526.0,218464.8125,369510.4375,148287.875,350266.5313,1164658.25,61229.4922,1869321.5,330060.5625,1372964.0,28080.5879,30984.6582,100709.8281,42428.6914,43093.5117,47667.4922,1400476.625,102140.6406,703711.25,15335.0488,526435.875,17936.0703,42449.5586,431560.0938,2176415.75,320559.3125,198587.7188,4246473.5,46194.5312,2342957.5,507559.8438,475906.6563,3793720.5,193016.625,842618.8125,341992.9688,264784.5,403393.6875,272185.9688,169857.25,273778.8438,450476.1875,111246.4219,481481.8438,73569.6719,217186.4375,50217.7188,185757.0313,202442.1563,1915396.0,943397.625,3405796.75,15188.5898,3454353.75,184908.8125,137168.5938,886598.1875,90025.8203,23154.7871,97492.3516,14688702,120001.5625,146456.125,73910.5312,19792496,73494.5234,4747326.5,19713.1094,117904.6172,61548.9297,288601.1563,500511.4375,867705.125,65480.0703,354365.0,43936.8281,399194.4375,537212.0,17560702,925486.8125,3208343.5,245845.5625,158264.2031,2035891.75,31362.6113,109880.9141,2377688.5,35169.5781,12460037.0,187476.9531,33179.8086,288570.3125,18201104,8483246,18782264,42882.8281,
38,Normoxia,3542242.75,266668.5,7186592.0,2953364.0,605046.5625,14402174.0,67808.2422,30400.8926,355819.2813,5611005.5,1347426.0,19711160,15905241.0,346997.2188,923421.1875,193526.0469,414497.5938,2180509.25,95983.4766,4542629.0,1780750.625,1913550.875,26000.0391,52067.3086,161317.9375,20506.4004,36048.0312,55947.8516,1500155.0,37324.6289,1638032.875,27839.1992,708294.1875,18923.9395,16152.6104,525316.5,2451259.75,434709.9063,170555.7031,4453113.5,44809.2617,2121858.25,538355.5625,820747.9375,4301961.0,129759.4609,999845.625,329634.6563,265671.9063,482771.6875,,281509.2813,357839.4688,625222.8125,134096.1563,640237.5,124127.6406,294115.0625,74508.2969,257332.2031,281786.6563,2147287.25,997334.1875,2549459.5,11666.0703,3960685.75,250309.0781,151942.4531,763640.4375,121788.8906,17003.2305,143344.5156,15495795,183108.8438,237293.3906,107279.5234,22614648,93509.2812,5430157.0,17701.7305,115654.6875,71397.4531,312235.25,449338.8125,1159548.25,78352.3125,722056.375,59733.2227,702921.1875,618906.8125,20157206,1020015.75,4774474.5,252802.7656,288737.625,2751137.0,90794.3672,254422.2969,2442773.25,46949.4609,15197042.0,229141.1563,27256.3008,363212.0,24457844,10371493,20522084,32848.5195,
