pathway,Uk,H_transport,SGI,alignment_instability
Pathway_0,0.1805182283924236,0.13979453491961133,0.11413766940041205,0.10460756800019702
Pathway_1,0.2624705851212645,0.22509337829276993,0.23284207730382933,0.1457204065027509
Pathway_2,0.5252584187815833,0.42093247829821195,0.38242761050417073,0.4350005305718393
Pathway_3,0.1112087473382187,0.08590226178248249,0.08721178736820907,0.06328795013059803
Pathway_4,0.8681692953265041,0.6179866919651263,0.4422410115653301,0.519418032869948
Pathway_5,0.2973615313084723,0.24471279691655037,0.2405112842547123,0.20350310634409718
Pathway_6,0.1625379874687078,0.11683126606469504,0.13101339718910718,0.1479902873868127
Pathway_7,0.6756213095982433,0.6390610761254937,0.5462175322512225,0.37061250035660576
Pathway_8,0.0380863005993192,0.03739432508606558,0.03701508680382854,0.035000261115993685
Pathway_9,0.6199685648741642,0.42884512650687573,0.5213378586057121,0.33977327845143823
Pathway_10,0.6981984306764998,0.6254898048965541,0.47460314133646014,0.6899804483840336
Pathway_11,0.2149165313867191,0.16429239650403524,0.15442096150121723,0.15781871103753048
Pathway_12,0.0419640734436342,0.032900768562318466,0.03561976009304816,0.04147647374266879
Pathway_13,0.3636453589194496,0.35011714033301017,0.19277303608308427,0.29179731251897895
Pathway_14,0.0985942302419364,0.05279898785968923,0.08216679065112313,0.0857406768993053
Pathway_15,0.116477849673337,0.0633132415730581,0.09729615331798398,0.060521179724282864
Pathway_16,0.2542612314448645,0.12970099303794172,0.15387668024901185,0.16308403900536206
Pathway_17,0.2954679246267593,0.2707401911969307,0.16678075511232532,0.16549107655784376
Pathway_18,0.5299703410214206,0.47118516984521674,0.3485690058642673,0.3434579312461913
Pathway_19,0.6783918855030131,0.6343005335813499,0.4625651605902667,0.37946790331292723
Pathway_20,0.5927709408701848,0.5864337281741604,0.46538350847596605,0.39063106465022235
Pathway_21,0.1483603372895168,0.13346188571225795,0.1067157028812396,0.10491026744113925
Pathway_22,0.1720860324526264,0.1257500924807509,0.17108568241210667,0.09156246029552903
Pathway_23,0.8787692497929145,0.7823371442398223,0.4842215457896095,0.7436462273171082
Pathway_24,0.5583523150641136,0.3121955572804557,0.33748956769637345,0.4373577743695241
Pathway_25,0.869937832897689,0.7133146697085155,0.5051335426561668,0.5504050957596855
Pathway_26,0.3715465113198744,0.21240446257147041,0.3071033155802541,0.28297875007017087
Pathway_27,0.6144000074313238,0.5974022985433645,0.3850111849570289,0.3360585289697064
Pathway_28,0.5236634160546108,0.39846814544230946,0.3839266541558049,0.41263276269112065
Pathway_29,0.3191234898204625,0.2257259276029808,0.19856271887072324,0.30784186773393496
