pathway,Uk
Pathway_0,0.1805182283924236
Pathway_1,0.26247058512126453
Pathway_2,0.5252584187815833
Pathway_3,0.11120874733821873
Pathway_4,0.8681692953265041
Pathway_5,0.2973615313084723
Pathway_6,0.16253798746870785
Pathway_7,0.6756213095982433
Pathway_8,0.03808630059931928
Pathway_9,0.6199685648741642
Pathway_10,0.6981984306764998
Pathway_11,0.21491653138671918
Pathway_12,0.04196407344363429
Pathway_13,0.3636453589194496
Pathway_14,0.09859423024193648
Pathway_15,0.11647784967333707
Pathway_16,0.25426123144486457
Pathway_17,0.2954679246267593
Pathway_18,0.5299703410214206
Pathway_19,0.6783918855030131
Pathway_20,0.5927709408701848
Pathway_21,0.1483603372895168
Pathway_22,0.17208603245262644
Pathway_23,0.8787692497929145
Pathway_24,0.5583523150641136
Pathway_25,0.869937832897689
Pathway_26,0.3715465113198744
Pathway_27,0.6144000074313238
Pathway_28,0.5236634160546108
Pathway_29,0.31912348982046257
