pathway,Instab,Uk
Pathway_27,1.74,0.6144000074313238
Pathway_4,3.1,0.8681692953265041
Pathway_14,3.74,0.0985942302419364
Pathway_1,9.38,0.2624705851212645
Pathway_11,7.28,0.2149165313867191
Pathway_17,7.52,0.2954679246267593
Pathway_10,6.22,0.6981984306764998
Pathway_18,4.52,0.5299703410214206
Pathway_16,6.56,0.2542612314448645
Pathway_2,6.2,0.5252584187815833
Pathway_21,7.16,0.1483603372895168
Pathway_3,7.08,0.1112087473382187
Pathway_28,5.88,0.5236634160546108
Pathway_5,6.26,0.2973615313084723
Pathway_25,6.44,0.869937832897689
Pathway_8,6.68,0.0380863005993192
Pathway_22,5.9,0.1720860324526264
Pathway_9,6.68,0.6199685648741642
Pathway_15,6.34,0.116477849673337
Pathway_0,6.32,0.1805182283924236
Pathway_23,5.5,0.8787692497929145
Pathway_20,5.68,0.5927709408701848
Pathway_7,6.22,0.6756213095982433
Pathway_24,6.14,0.5583523150641136
Pathway_13,5.52,0.3636453589194496
Pathway_19,6.74,0.6783918855030131
Pathway_6,7.18,0.1625379874687078
Pathway_26,9.72,0.3715465113198744
Pathway_12,9.28,0.0419640734436342
Pathway_29,10.06,0.3191234898204625
