pathway,metabolite
Pathway_0,M45
Pathway_0,M4
Pathway_0,M16
Pathway_0,M41
Pathway_0,M50
Pathway_0,M22
Pathway_1,M46
Pathway_1,M51
Pathway_1,M40
Pathway_1,M11
Pathway_1,M33
Pathway_1,M39
Pathway_2,M11
Pathway_2,M40
Pathway_2,M28
Pathway_2,M18
Pathway_2,M58
Pathway_2,M9
Pathway_3,M25
Pathway_3,M17
Pathway_3,M27
Pathway_3,M28
Pathway_3,M57
Pathway_3,M42
Pathway_4,M3
Pathway_4,M11
Pathway_4,M39
Pathway_4,M24
Pathway_4,M5
Pathway_4,M44
Pathway_5,M26
Pathway_5,M12
Pathway_5,M38
Pathway_5,M9
Pathway_5,M33
Pathway_5,M4
Pathway_6,M45
Pathway_6,M23
Pathway_6,M19
Pathway_6,M44
Pathway_6,M46
Pathway_6,M17
Pathway_7,M56
Pathway_7,M30
Pathway_7,M38
Pathway_7,M48
Pathway_7,M54
Pathway_7,M8
Pathway_8,M29
Pathway_8,M25
Pathway_8,M36
Pathway_8,M0
Pathway_8,M44
Pathway_8,M51
Pathway_9,M38
Pathway_9,M2
Pathway_9,M36
Pathway_9,M15
Pathway_9,M39
Pathway_9,M16
Pathway_10,M40
Pathway_10,M30
Pathway_10,M18
Pathway_10,M5
Pathway_10,M23
Pathway_10,M26
Pathway_11,M38
Pathway_11,M15
Pathway_11,M8
Pathway_11,M30
Pathway_11,M0
Pathway_11,M26
Pathway_12,M29
Pathway_12,M40
Pathway_12,M34
Pathway_12,M1
Pathway_12,M37
Pathway_12,M23
Pathway_13,M10
Pathway_13,M32
Pathway_13,M43
Pathway_13,M28
Pathway_13,M57
Pathway_13,M47
Pathway_14,M4
Pathway_14,M37
Pathway_14,M6
Pathway_14,M47
Pathway_14,M3
Pathway_14,M5
Pathway_15,M29
Pathway_15,M24
Pathway_15,M59
Pathway_15,M26
Pathway_15,M13
Pathway_15,M11
Pathway_16,M12
Pathway_16,M56
Pathway_16,M40
Pathway_16,M28
Pathway_16,M44
Pathway_16,M34
Pathway_17,M47
Pathway_17,M52
Pathway_17,M30
Pathway_17,M29
Pathway_17,M41
Pathway_17,M39
Pathway_18,M6
Pathway_18,M9
Pathway_18,M8
Pathway_18,M49
Pathway_18,M1
Pathway_18,M19
Pathway_19,M8
Pathway_19,M22
Pathway_19,M55
Pathway_19,M36
Pathway_19,M37
Pathway_19,M21
Pathway_20,M23
Pathway_20,M56
Pathway_20,M58
Pathway_20,M13
Pathway_20,M12
Pathway_20,M30
Pathway_21,M21
Pathway_21,M14
Pathway_21,M3
Pathway_21,M7
Pathway_21,M37
Pathway_21,M42
Pathway_22,M37
Pathway_22,M49
Pathway_22,M0
Pathway_22,M5
Pathway_22,M8
Pathway_22,M19
Pathway_23,M36
Pathway_23,M0
Pathway_23,M20
Pathway_23,M13
Pathway_23,M7
Pathway_23,M25
Pathway_24,M49
Pathway_24,M59
Pathway_24,M4
Pathway_24,M8
Pathway_24,M24
Pathway_24,M19
Pathway_25,M45
Pathway_25,M2
Pathway_25,M10
Pathway_25,M28
Pathway_25,M29
Pathway_25,M5
Pathway_26,M47
Pathway_26,M33
Pathway_26,M9
Pathway_26,M0
Pathway_26,M41
Pathway_26,M26
Pathway_27,M56
Pathway_27,M37
Pathway_27,M9
Pathway_27,M11
Pathway_27,M42
Pathway_27,M51
Pathway_28,M35
Pathway_28,M20
Pathway_28,M33
Pathway_28,M4
Pathway_28,M30
Pathway_28,M31
Pathway_29,M54
Pathway_29,M51
Pathway_29,M38
Pathway_29,M8
Pathway_29,M7
Pathway_29,M35
