method,tau
Mean,0.15862068965517243
Enrichment,0.14942528735632182
Mean,0.19080459770114944
Enrichment,-0.2781609195402299
Mean,0.11264367816091954
Enrichment,0.0896551724137931
Mean,0.15862068965517243
Enrichment,0.14942528735632182
Mean,0.07586206896551725
Enrichment,0.0574712643678161
Mean,0.19999999999999998
Enrichment,-0.04827586206896552
Mean,0.18160919540229886
Enrichment,-0.17701149425287357
Mean,0.043678160919540236
Enrichment,0.14022988505747128
Mean,0.06666666666666667
Enrichment,0.14022988505747128
Mean,0.24597701149425286
Enrichment,0.006896551724137931
Mean,-0.0896551724137931
Enrichment,-0.043678160919540236
Mean,0.28735632183908044
Enrichment,0.17241379310344826
Mean,-0.07586206896551725
Enrichment,0.03908045977011494
Mean,-0.0022988505747126436
Enrichment,-0.02528735632183908
Mean,-0.0022988505747126436
Enrichment,-0.05287356321839081
Mean,-0.12643678160919541
Enrichment,0.14942528735632182
Mean,0.3195402298850575
Enrichment,-0.0022988505747126436
Mean,0.006896551724137931
Enrichment,-0.22298850574712642
Mean,0.20459770114942533
Enrichment,0.0574712643678161
Mean,0.0574712643678161
Enrichment,0.08505747126436781
Mean,-0.1310344827586207
Enrichment,-0.3425287356321839
Mean,0.24597701149425286
Enrichment,0.10804597701149425
Mean,0.07586206896551725
Enrichment,0.03908045977011494
Mean,0.10804597701149425
Enrichment,-0.011494252873563218
Mean,0.08505747126436781
Enrichment,0.09885057471264368
Mean,0.3977011494252874
Enrichment,0.11264367816091954
Mean,-0.03448275862068966
Enrichment,0.02528735632183908
Mean,-0.043678160919540236
Enrichment,-0.006896551724137931
Mean,0.006896551724137931
Enrichment,-0.05287356321839081
Mean,0.029885057471264367
Enrichment,-0.0022988505747126436
Mean,0.05287356321839081
Enrichment,0.167816091954023
Mean,0.0942528735632184
Enrichment,0.06206896551724138
Mean,0.020689655172413793
Enrichment,0.14482758620689656
Mean,-0.016091954022988506
Enrichment,-0.167816091954023
Mean,0.14482758620689656
Enrichment,0.08045977011494253
Mean,0.12643678160919541
Enrichment,-0.016091954022988506
Mean,-0.06666666666666667
Enrichment,-0.19080459770114944
Mean,0.03908045977011494
Enrichment,-0.17701149425287357
Mean,-0.011494252873563218
Enrichment,0.0896551724137931
Mean,0.0896551724137931
Enrichment,0.25057471264367814
Mean,-0.07586206896551725
Enrichment,-0.03908045977011494
Mean,0.10804597701149425
Enrichment,0.1310344827586207
Mean,-0.07126436781609195
Enrichment,0.11724137931034484
Mean,-0.011494252873563218
Enrichment,-0.11724137931034484
Mean,-0.09885057471264368
Enrichment,-0.17241379310344826
Mean,0.07586206896551725
Enrichment,0.10344827586206898
Mean,0.020689655172413793
Enrichment,0.06206896551724138
Mean,0.3241379310344828
Enrichment,0.17701149425287357
Mean,-0.17241379310344826
Enrichment,0.06666666666666667
Mean,0.020689655172413793
Enrichment,-0.006896551724137931
