pathway,H_transport,SGI,alignment_instability,Instab,score_entropy_only,score_sgi_only,score_instability_only,score_full,score_without_entropy,score_without_sgi,score_without_instability
Pathway_0,0.1397945349196113,0.114137669400412,0.104607568000197,6.32,-0.8283932530063219,-0.9996680673272017,-0.9371073423021122,-0.9217228875452119,-0.968387704814657,-0.8827502976542171,-0.9140306601667618
Pathway_1,0.2250933782927699,0.2328420773038293,0.1457204065027509,9.38,-0.45287324798700157,-0.2617215140516437,-0.7175188804668234,-0.47737121416848954,-0.48962019725923356,-0.5851960642269125,-0.3572973810193226
Pathway_2,0.4209324782982119,0.3824276105041707,0.4350005305718393,6.2,0.40928967133066435,0.6682029141540308,0.827559975616214,0.6350175203669697,0.7478814448851223,0.6184248234734392,0.5387462927423475
Pathway_3,0.0859022617824824,0.087211787368209,0.063287950130598,7.08,-1.0656488344263801,-1.1670574860565839,-1.1578002368353741,-1.130168852439446,-1.162428861445979,-1.1117245356308771,-1.116353160241482
Pathway_4,0.6179866919651263,0.4422410115653301,0.519418032869948,3.1,1.2768020124014365,1.0400433026649996,1.2784436936175179,1.198429669561318,1.1592434981412587,1.2776228530094773,1.158422657533218
Pathway_5,0.2447127969165503,0.2405112842547123,0.2035031063440971,6.26,-0.36650063273537997,-0.21404455802515956,-0.408894746473662,-0.32981331241140055,-0.31146965224941076,-0.387697689604521,-0.2902725953802698
Pathway_6,0.116831266064695,0.1310133971891071,0.1479902873868127,7.18,-0.9294868492926657,-0.8947571766902115,-0.7053951821274472,-0.8432130693701081,-0.8000761794088294,-0.8174410157100565,-0.9121220129914386
Pathway_7,0.6390610761254937,0.5462175322512225,0.3706125003566057,6.22,1.3695799743611237,1.6864313889791065,0.48365600229437805,1.1798891218782028,1.0850436956367422,0.9266179883277509,1.528005681670115
Pathway_8,0.0373943250860655,0.0370150868038285,0.0350002611159936,6.68,-1.2792003893053456,-1.479113986919038,-1.3088880805804883,-1.3557341522682906,-1.3940010337497633,-1.294044234942917,-1.3791571881121918
Pathway_9,0.4288451265068757,0.5213378586057121,0.3397732784514382,6.68,0.44412434877212364,1.5317625798118562,0.31894012401873395,0.7649423508675712,0.925351351915295,0.38153223639542877,0.9879434642919899
Pathway_10,0.6254898048965541,0.4746031413364601,0.6899804483840336,6.22,1.3098337499285706,1.2412280989422588,2.1894374326492527,1.5801664271733606,1.7153327657957558,1.7496355912889117,1.2755309244354147
