dataset,pathway_id,pathway_name,mask_rate,method,n_trials,mean_regret,median_regret,std_regret,mean_normalized_regret
ST000356,hsa00230,Purine Metabolism,0.6,degree,100,1.3270407234180588,2.5908144983189847,1.3073351473970278,0.4802361539797979
ST000356,hsa00230,Purine Metabolism,0.6,imputation,100,0.03182183636312444,0.0,0.055394706822984925,0.11668896274347801
ST000356,hsa00230,Purine Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00230,Purine Metabolism,0.6,random,100,1.3050982510937834,0.20001921307784332,1.3162086350721067,0.5427526718880915
ST000356,hsa00240,Pyrimidine Metabolism,0.4,degree,100,0.03325793034172904,0.004779879537895965,0.04508898568962736,0.18173206268583222
ST000356,hsa00240,Pyrimidine Metabolism,0.4,imputation,100,0.07848895525213048,0.05051825699056006,0.08398759723331314,0.3006052941284253
ST000356,hsa00240,Pyrimidine Metabolism,0.4,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00240,Pyrimidine Metabolism,0.4,random,100,0.05854504841778549,0.030516925578837478,0.07275333528582201,0.279212493961816
ST000356,hsa00240,Pyrimidine Metabolism,0.5,degree,100,0.024775485689119074,0.0,0.03741533142538855,0.13221203871898354
ST000356,hsa00240,Pyrimidine Metabolism,0.5,imputation,100,0.08963431672001572,0.06706694144281908,0.08350483737377078,0.318083751237881
ST000356,hsa00240,Pyrimidine Metabolism,0.5,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00240,Pyrimidine Metabolism,0.5,random,100,0.08158780458690007,0.0538989158710918,0.08226825619517758,0.3178976018042696
ST000356,hsa00240,Pyrimidine Metabolism,0.6,degree,100,0.0073478777978083065,0.0,0.01857301216034221,0.03592424534821502
ST000356,hsa00240,Pyrimidine Metabolism,0.6,imputation,100,0.15440702050877408,0.13754873292421627,0.12136393035313331,0.4497726479301549
ST000356,hsa00240,Pyrimidine Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00240,Pyrimidine Metabolism,0.6,random,100,0.13203621948735492,0.11158079279976837,0.1279334480308505,0.4058658227238014
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,degree,100,0.685940443787014,0.1627123485462602,0.7532534415628133,0.5559290330512608
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,imputation,100,0.03710952269314983,0.0,0.05387606351674701,0.17807987495893304
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,random,100,0.5785878097266218,0.1188712816982069,0.7242042809544947,0.5127674236266663
ST000356,hsa00330,Arginine and Proline Metabolism,0.5,degree,100,0.8675322660995038,1.260977762739192,0.7137525812840426,0.5576128810866469
ST000356,hsa00330,Arginine and Proline Metabolism,0.5,imputation,100,0.02916427204510188,0.0,0.056323719899877424,0.09305396865804333
ST000356,hsa00330,Arginine and Proline Metabolism,0.5,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.5,random,100,0.6918117591204406,0.2294217580595766,0.7256079195717288,0.5159121737030304
ST000356,hsa00330,Arginine and Proline Metabolism,0.6,degree,100,0.9254255082837797,1.099863169140486,0.617296304445264,0.5666751109805452
ST000356,hsa00330,Arginine and Proline Metabolism,0.6,imputation,100,0.027471897337299524,0.0,0.05445155358119231,0.06798733254575122
ST000356,hsa00330,Arginine and Proline Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.6,random,100,0.916471659285792,1.3477901179058907,0.7132542121625598,0.618151779142857
ST000356,hsa00380,Tryptophan Metabolism,0.5,degree,100,0.3711861523241404,0.0,0.6639000573188873,0.14881561527113127
ST000356,hsa00380,Tryptophan Metabolism,0.5,imputation,100,0.08151951447858838,0.0,0.24579058419765654,0.09570648045732749
ST000356,hsa00380,Tryptophan Metabolism,0.5,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00380,Tryptophan Metabolism,0.5,random,100,1.122083597362424,1.347296924955823,0.9870434118788786,0.5424831468557185
ST000356,hsa00380,Tryptophan Metabolism,0.6,degree,100,0.2174333931976217,0.0,0.5416433668402817,0.08842634752474714
ST000356,hsa00380,Tryptophan Metabolism,0.6,imputation,100,0.11412732027002374,0.0,0.28428715057020004,0.1339890726402585
ST000356,hsa00380,Tryptophan Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST000356,hsa00380,Tryptophan Metabolism,0.6,random,100,1.1131113044683298,0.8151951447858838,1.0528930575220727,0.5642525731171674
ST003390,hsa00240,Pyrimidine Metabolism,0.6,degree,100,346501.609547189,433119.8114903318,174123.6105751369,0.7999715115245977
ST003390,hsa00240,Pyrimidine Metabolism,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003390,hsa00240,Pyrimidine Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003390,hsa00240,Pyrimidine Metabolism,0.6,random,100,255551.3679635292,433119.6807125228,214097.58195642265,0.748448343527308
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,degree,100,141062.28967687872,262647.5578029146,136525.98780803249,0.5169438206658085
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,imputation,100,0.0,0.0,0.0,0.0
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,proposed,100,0.0,0.0,0.0,0.0
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.5,random,100,122562.41945341174,27643.740840952727,133903.19907919798,0.47786138398887934
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.6,degree,100,140099.36845437478,262647.5578029146,138367.48514605526,0.5070609557899969
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003390,hsa00250,Alanine Aspartate Glutamate Metabolism,0.6,random,100,132050.3043561599,27643.740840952727,137599.31658238004,0.48972487122478775
ST003390,hsa00260,Glycine Serine Threonine Metabolism,0.5,degree,100,1322.5284648414206,0.0,2864.1254095167924,0.0970966712976808
ST003390,hsa00260,Glycine Serine Threonine Metabolism,0.5,imputation,100,0.0,0.0,0.0,0.0
ST003390,hsa00260,Glycine Serine Threonine Metabolism,0.5,proposed,100,0.0,0.0,0.0,0.0
ST003390,hsa00260,Glycine Serine Threonine Metabolism,0.5,random,100,5948.012819782801,7146.501910283904,4998.2286177571405,0.521240258705125
ST003390,hsa00260,Glycine Serine Threonine Metabolism,0.6,degree,100,1073.6934684225625,0.0,2633.540211964127,0.0787711456728005
ST003390,hsa00260,Glycine Serine Threonine Metabolism,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003390,hsa00260,Glycine Serine Threonine Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003390,hsa00260,Glycine Serine Threonine Metabolism,0.6,random,100,5473.908877266284,6312.732329995391,5207.463742679377,0.4765826338286596
ST003390,hsa00330,Arginine and Proline Metabolism,0.4,degree,100,4668.1512599164735,1346.67339569542,6967.856706845405,0.3577475886969701
ST003390,hsa00330,Arginine and Proline Metabolism,0.4,imputation,100,0.0,0.0,0.0,0.0
ST003390,hsa00330,Arginine and Proline Metabolism,0.4,proposed,100,0.0,0.0,0.0,0.0
ST003390,hsa00330,Arginine and Proline Metabolism,0.4,random,100,6942.212357482561,2154.8753973407515,7781.332972868507,0.4573604202180128
ST003390,hsa00330,Arginine and Proline Metabolism,0.5,degree,100,8228.116947630382,3361.5344370464036,8027.907346826603,0.5367757648316894
ST003390,hsa00330,Arginine and Proline Metabolism,0.5,imputation,100,0.0,0.0,0.0,0.0
ST003390,hsa00330,Arginine and Proline Metabolism,0.5,proposed,100,0.0,0.0,0.0,0.0
ST003390,hsa00330,Arginine and Proline Metabolism,0.5,random,100,9473.629650848683,14983.944073367358,7740.328049634971,0.5836209302757495
ST003390,hsa00330,Arginine and Proline Metabolism,0.6,degree,100,10654.502587270044,17098.55702740864,8097.083998860214,0.6208110282745375
ST003390,hsa00330,Arginine and Proline Metabolism,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003390,hsa00330,Arginine and Proline Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003390,hsa00330,Arginine and Proline Metabolism,0.6,random,100,9303.903533828085,14983.99505996023,8128.5232581570135,0.531471941986824
ST003506,hsa00010,Glycolysis / Gluconeogenesis,0.6,degree,100,0.0,0.0,0.0,0.0
ST003506,hsa00010,Glycolysis / Gluconeogenesis,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003506,hsa00010,Glycolysis / Gluconeogenesis,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00010,Glycolysis / Gluconeogenesis,0.6,random,100,2030.4704600611126,2177.697207727975,1608.8567675381066,0.5810737837738338
ST003506,hsa00250,Alanine Aspartate Glutamate Metabolism,0.6,degree,100,12.328741221619312,6.84907450305462,13.951238595785703,0.34300862850824837
ST003506,hsa00250,Alanine Aspartate Glutamate Metabolism,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003506,hsa00250,Alanine Aspartate Glutamate Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00250,Alanine Aspartate Glutamate Metabolism,0.6,random,100,13.03580163459002,6.84907450305462,13.374648139303305,0.395352620920557
ST003506,hsa00260,Glycine Serine Threonine Metabolism,0.5,degree,100,7.9580917449206865,12.794869833118625,7.972506363989414,0.4233286995921044
ST003506,hsa00260,Glycine Serine Threonine Metabolism,0.5,imputation,100,0.0,0.0,0.0,0.0
ST003506,hsa00260,Glycine Serine Threonine Metabolism,0.5,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00260,Glycine Serine Threonine Metabolism,0.5,random,100,9.054940155505848,5.732698010451773,8.161218342883613,0.6034513933123112
ST003506,hsa00260,Glycine Serine Threonine Metabolism,0.6,degree,100,9.079038613932411,12.915938984709564,7.629011271345614,0.4833864551882815
ST003506,hsa00260,Glycine Serine Threonine Metabolism,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003506,hsa00260,Glycine Serine Threonine Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00260,Glycine Serine Threonine Metabolism,0.6,random,100,8.629915538285918,5.732698010451773,7.675593380607295,0.598336162010416
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.4,degree,100,1.3892050703069643,0.24555620130787312,1.681539919352079,0.36780154982897734
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.4,imputation,100,0.018144229860147763,0.0,0.06040407175557255,0.026699185374918666
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.4,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.4,random,100,1.6827707908800673,1.7743117705164797,1.5623353548673837,0.5240972162035468
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.5,degree,100,1.632622339565768,0.7255987254812944,1.776387021879307,0.443764795098847
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.5,imputation,100,0.018078236942986995,0.0,0.06555767188073787,0.026165158601687416
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.5,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.5,random,100,2.183036750715541,2.0810302022162004,1.7272211076832078,0.6138041654798093
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.6,degree,100,2.1079631722139034,2.0483911417682186,1.7349609853639993,0.5122345830316363
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.6,imputation,100,0.002299705742894079,0.0,0.01642850246718798,0.002244370576531933
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00280,Valine Leucine Isoleucine Degradation,0.6,random,100,2.548450493831331,2.3526652219064834,1.5578469285641614,0.6820609042263115
ST003506,hsa00330,Arginine and Proline Metabolism,0.6,degree,100,1.6572297145329122,0.0,2.4281671149433683,0.24560154726288588
ST003506,hsa00330,Arginine and Proline Metabolism,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003506,hsa00330,Arginine and Proline Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00330,Arginine and Proline Metabolism,0.6,random,100,2.568921349165082,1.3358523656159291,2.719629789651517,0.42855578140482153
ST003506,hsa00564,Glycerophospholipid Metabolism,0.6,degree,100,2.044713433999981,2.694082036627342,1.2999403182441318,0.5033382860980326
ST003506,hsa00564,Glycerophospholipid Metabolism,0.6,imputation,100,0.0,0.0,0.0,0.0
ST003506,hsa00564,Glycerophospholipid Metabolism,0.6,proposed,100,0.0,0.0,0.0,0.0
ST003506,hsa00564,Glycerophospholipid Metabolism,0.6,random,100,1.5524725462790487,2.6390371888217037,1.3871387492542533,0.4663644552900685
