dataset,pathway_id,pathway_name,mask_rate,method,n_trials,top1_success,top3_success,top5_success
ST000356,hsa00230,Purine Metabolism,0.4,degree,100,0.73,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.4,imputation,100,0.56,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.4,proposed,100,1.0,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.4,random,100,0.53,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.5,degree,100,0.73,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.5,imputation,100,0.68,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.5,proposed,100,1.0,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.5,random,100,0.43,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.6,degree,100,0.49,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.6,imputation,100,0.75,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.6,proposed,100,1.0,1.0,1.0
ST000356,hsa00230,Purine Metabolism,0.6,random,100,0.37,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.4,degree,100,0.5,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.4,imputation,100,0.35,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.4,proposed,100,1.0,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.4,random,100,0.43,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.5,degree,100,0.57,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.5,imputation,100,0.27,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.5,proposed,100,1.0,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.5,random,100,0.31,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.6,degree,100,0.85,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.6,imputation,100,0.0,0.72,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.6,proposed,100,1.0,1.0,1.0
ST000356,hsa00240,Pyrimidine Metabolism,0.6,random,100,0.26,0.68,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.4,degree,100,0.35,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.4,imputation,100,0.65,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.4,proposed,100,1.0,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.4,random,100,0.48,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.5,degree,100,0.3,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.5,imputation,100,0.7,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.5,proposed,100,1.0,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.5,random,100,0.51,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.6,degree,100,0.36,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.6,imputation,100,0.64,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.6,proposed,100,1.0,1.0,1.0
ST000356,hsa00260,Glycine Serine Threonine Metabolism,0.6,random,100,0.49,1.0,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,degree,100,0.18,1.0,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,imputation,100,0.6,1.0,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,proposed,100,1.0,1.0,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,random,100,0.26,1.0,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.5,degree,100,0.22,0.9,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.5,imputation,100,0.74,0.96,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.5,proposed,100,1.0,1.0,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.5,random,100,0.31,0.75,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.6,degree,100,0.24,0.91,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.6,imputation,100,0.78,1.0,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.6,proposed,100,1.0,1.0,1.0
ST000356,hsa00330,Arginine and Proline Metabolism,0.6,random,100,0.21,0.6,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.4,degree,100,0.9,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.4,imputation,100,0.66,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.4,proposed,100,1.0,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.4,random,100,0.51,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.5,degree,100,0.76,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.5,imputation,100,0.9,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.5,proposed,100,1.0,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.5,random,100,0.34,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.6,degree,100,0.86,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.6,imputation,100,0.86,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.6,proposed,100,1.0,1.0,1.0
ST000356,hsa00380,Tryptophan Metabolism,0.6,random,100,0.34,1.0,1.0
ST000356,hsa00480,Glutathione Metabolism,0.4,degree,100,1.0,1.0,1.0
ST000356,hsa00480,Glutathione Metabolism,0.4,imputation,100,0.34,1.0,1.0
ST000356,hsa00480,Glutathione Metabolism,0.4,proposed,100,1.0,1.0,1.0
ST000356,hsa00480,Glutathione Metabolism,0.4,random,100,0.56,1.0,1.0
ST000356,hsa00480,Glutathione Metabolism,0.5,degree,100,1.0,1.0,1.0
ST000356,hsa00480,Glutathione Metabolism,0.5,imputation,100,0.25,1.0,1.0
ST000356,hsa00480,Glutathione Metabolism,0.5,proposed,100,1.0,1.0,1.0
