dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,1,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,2,imputation,7,5,2,Ornithine,Ornithine,1.1950212559690272,1.1950212559690272,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,3,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,4,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,5,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,6,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,7,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,8,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,9,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,10,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,11,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,12,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,13,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,14,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,15,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,16,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,17,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,18,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,19,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,20,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,21,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,22,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,23,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,24,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,25,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,26,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,27,imputation,7,5,2,Urea,Urea,1505.5859471035865,1505.5859471035865,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,28,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,29,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,30,imputation,7,5,2,4-hydroxy-proline,4-hydroxy-proline,5.189539559200987,5.189539559200987,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,31,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,32,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,33,imputation,7,5,2,Ornithine,Ornithine,1.1950212559690272,1.1950212559690272,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,34,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,35,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,36,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,37,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,38,imputation,7,5,2,Citrulline,Citrulline,10.12949291169622,10.12949291169622,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,39,imputation,7,5,2,Ornithine,Ornithine,1.1950212559690272,1.1950212559690272,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,40,imputation,7,5,2,Arginine,Arginine,2.533868371002132,2.533868371002132,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.2,41,imputation,7,5,2,creatinine,creatinine,83.99139224984401,83.99139224984401,0.0,0.0,1,1,1
