dataset,pathway_id,pathway_name,mask_rate,trial,method,n_pathway_metabolites,n_observed,n_masked,oracle_metabolite,predicted_metabolite,oracle_gain,predicted_gain,regret,normalized_regret,is_top1,is_top3,is_top5
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,1,proposed,7,4,3,Urea,Urea,1.7872112518899073,1.7872112518899073,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,1,random,7,4,3,Urea,creatinine,1.7872112518899073,0.12115008039612679,1.6660611714937805,0.9322127810750143,0,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,1,degree,7,4,3,Urea,Proline,1.7872112518899073,0.13847462369674277,1.6487366281931646,0.9225191629969688,0,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,1,imputation,7,4,3,Urea,Urea,1.7872112518899073,1.7872112518899073,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,2,proposed,7,4,3,Proline,Proline,0.17199703879663866,0.17199703879663866,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,2,random,7,4,3,Proline,Proline,0.17199703879663866,0.17199703879663866,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,2,degree,7,4,3,Proline,Citrulline,0.17199703879663866,0.08745915430850852,0.08453788448813014,0.49150779036139286,0,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,2,imputation,7,4,3,Proline,Citrulline,0.17199703879663866,0.08745915430850852,0.08453788448813014,0.49150779036139286,0,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,3,proposed,7,4,3,Ornithine,Ornithine,0.24681006381041973,0.24681006381041973,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,3,random,7,4,3,Ornithine,Arginine,0.24681006381041973,0.08612385981620452,0.1606862039942152,0.6510520742662698,0,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,3,degree,7,4,3,Ornithine,Ornithine,0.24681006381041973,0.24681006381041973,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,3,imputation,7,4,3,Ornithine,Citrulline,0.24681006381041973,0.18956397282654916,0.05724609098387057,0.2319439090117922,0,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,4,proposed,7,4,3,Ornithine,Ornithine,0.24681006381041973,0.24681006381041973,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,4,random,7,4,3,Ornithine,Arginine,0.24681006381041973,0.08612385981620452,0.1606862039942152,0.6510520742662698,0,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,4,degree,7,4,3,Ornithine,Ornithine,0.24681006381041973,0.24681006381041973,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,4,imputation,7,4,3,Ornithine,Citrulline,0.24681006381041973,0.18956397282654916,0.05724609098387057,0.2319439090117922,0,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,5,proposed,7,4,3,Urea,Urea,1.6586346815243362,1.6586346815243362,0.0,0.0,1,1,1
ST000356,hsa00330,Arginine and Proline Metabolism,0.4,5,random,7,4,3,Urea,creatinine,1.6586346815243362,0.15951733452215777,1.4991173470021786,0.9038261189760844,0,1,1
