dataset,pathway,rho,operator_method,predictor_method,n_nodes,n_hidden,delta_star,delta_hat,regret,nregret,top1,top3,rank_tau,m_star,m_hat
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.14339744,-0.40362733,0.26022989,1.81474566,0,0.6667,,Urea,Ornithine
ST000356,Arginine and Proline Metabolism,0.3,none,bayes_oed,6,2,-0.14339744,-0.40362733,0.26022989,1.81474566,0,0.6667,,Urea,Ornithine
ST000356,Arginine and Proline Metabolism,0.3,none,active_acq,6,2,-0.14339744,-0.14339744,0.0,0.0,1,0.6667,,Urea,Urea
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.00780727,-0.00780727,0.0,0.0,1,0.6667,,Citrulline,Citrulline
ST000356,Arginine and Proline Metabolism,0.3,none,bayes_oed,6,2,-0.00780727,-0.08648336,0.07867609,10.07728355,0,0.6667,,Citrulline,Creatinine
ST000356,Arginine and Proline Metabolism,0.3,none,active_acq,6,2,-0.00780727,-0.00780727,0.0,0.0,1,0.6667,,Citrulline,Citrulline
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.36262595,-0.52308706,0.16046111,0.44249759,0,0.6667,,Ornithine,Proline
ST000356,Arginine and Proline Metabolism,0.3,none,bayes_oed,6,2,-0.36262595,-0.52308706,0.16046111,0.44249759,0,0.6667,,Ornithine,Proline
ST000356,Arginine and Proline Metabolism,0.3,none,active_acq,6,2,-0.36262595,-0.36262595,0.0,0.0,1,0.6667,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.063864,-0.51218598,0.44832199,7.01994885,0,0.6667,,Citrulline,Arginine
ST000356,Arginine and Proline Metabolism,0.3,none,bayes_oed,6,2,-0.063864,-0.51218598,0.44832199,7.01994885,0,0.6667,,Citrulline,Arginine
ST000356,Arginine and Proline Metabolism,0.3,none,active_acq,6,2,-0.063864,-0.51218598,0.44832199,7.01994885,0,0.6667,,Citrulline,Arginine
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.2152939,-0.5849398,0.3696459,1.71693624,0,0.6667,,Creatinine,Arginine
ST000356,Arginine and Proline Metabolism,0.3,none,bayes_oed,6,2,-0.2152939,-0.2152939,0.0,0.0,1,0.6667,,Creatinine,Creatinine
ST000356,Arginine and Proline Metabolism,0.3,none,active_acq,6,2,-0.2152939,-0.5849398,0.3696459,1.71693624,0,0.6667,,Creatinine,Arginine
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.14339744,-0.40362733,0.26022989,1.81474566,0,0.6667,,Urea,Ornithine
ST000356,Arginine and Proline Metabolism,0.3,none,bayes_oed,6,2,-0.14339744,-0.40362733,0.26022989,1.81474566,0,0.6667,,Urea,Ornithine
ST000356,Arginine and Proline Metabolism,0.3,none,active_acq,6,2,-0.14339744,-0.14339744,0.0,0.0,1,0.6667,,Urea,Urea
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.50959956,-0.50959956,0.0,0.0,1,0.6667,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.3,none,bayes_oed,6,2,-0.50959956,-0.53615571,0.02655615,0.05211179,0,0.6667,,Arginine,Proline
ST000356,Arginine and Proline Metabolism,0.3,none,active_acq,6,2,-0.50959956,-0.50959956,0.0,0.0,1,0.6667,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.14339744,-0.40362733,0.26022989,1.81474566,0,0.6667,,Urea,Ornithine
ST000356,Arginine and Proline Metabolism,0.3,none,bayes_oed,6,2,-0.14339744,-0.40362733,0.26022989,1.81474566,0,0.6667,,Urea,Ornithine
ST000356,Arginine and Proline Metabolism,0.3,none,active_acq,6,2,-0.14339744,-0.14339744,0.0,0.0,1,0.6667,,Urea,Urea
ST000356,Arginine and Proline Metabolism,0.3,none,mutual_info,6,2,-0.24363452,-0.24363452,0.0,0.0,1,0.6667,,Citrulline,Citrulline
