dataset,pathway,rho,operator_method,predictor_method,n_nodes,n_hidden,delta_star,delta_hat,regret,nregret,top1,top3,rank_tau,m_star,m_hat
ST000356,Arginine and Proline Metabolism,0.1,none,surrogate,6,1,-0.35112107,-0.35112107,0.0,0.0,1,0.3333,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.1,none,gnc_commutator,6,1,-0.35112107,-0.35112107,0.0,0.0,1,0.3333,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.1,none,mb2d_transport,6,1,-0.35112107,-0.35112107,0.0,0.0,1,0.3333,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.1,none,random,6,1,-0.35112107,-0.35112107,0.0,0.0,1,0.3333,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.1,none,degree,6,1,-0.35112107,-0.35112107,0.0,0.0,1,0.3333,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.1,none,variance,6,1,-0.35112107,-0.35112107,0.0,0.0,1,0.3333,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.1,none,diffabundance,6,1,-0.35112107,-0.35112107,0.0,0.0,1,0.3333,,Arginine,Arginine
ST000356,Arginine and Proline Metabolism,0.1,none,surrogate,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,gnc_commutator,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,mb2d_transport,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,random,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,degree,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,variance,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,diffabundance,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,surrogate,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,gnc_commutator,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,mb2d_transport,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,random,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,degree,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,variance,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,diffabundance,6,1,-0.22743625,-0.22743625,0.0,0.0,1,0.3333,,Ornithine,Ornithine
ST000356,Arginine and Proline Metabolism,0.1,none,surrogate,6,1,-0.40147049,-0.40147049,0.0,0.0,1,0.3333,,Urea,Urea
ST000356,Arginine and Proline Metabolism,0.1,none,gnc_commutator,6,1,-0.40147049,-0.40147049,0.0,0.0,1,0.3333,,Urea,Urea
ST000356,Arginine and Proline Metabolism,0.1,none,mb2d_transport,6,1,-0.40147049,-0.40147049,0.0,0.0,1,0.3333,,Urea,Urea
ST000356,Arginine and Proline Metabolism,0.1,none,random,6,1,-0.40147049,-0.40147049,0.0,0.0,1,0.3333,,Urea,Urea
ST000356,Arginine and Proline Metabolism,0.1,none,degree,6,1,-0.40147049,-0.40147049,0.0,0.0,1,0.3333,,Urea,Urea
