trial,pathway,strategy,step,n_metabolites,auc
0,Arginine and Proline Metabolism,commutator,1,5,1.0
0,Arginine and Proline Metabolism,commutator,2,6,1.0
0,Arginine and Proline Metabolism,variance,1,5,1.0
0,Arginine and Proline Metabolism,variance,2,6,1.0
0,Arginine and Proline Metabolism,random,1,5,1.0
0,Arginine and Proline Metabolism,random,2,6,1.0
0,Purine Metabolism,commutator,1,3,0.903225806451613
0,Purine Metabolism,commutator,2,4,0.982078853046595
0,Purine Metabolism,variance,1,3,0.903225806451613
0,Purine Metabolism,variance,2,4,0.982078853046595
0,Purine Metabolism,random,1,3,0.9713261648745519
0,Purine Metabolism,random,2,4,0.982078853046595
0,Pyrimidine Metabolism,commutator,1,5,0.971326164874552
0,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
0,Pyrimidine Metabolism,variance,1,5,0.971326164874552
0,Pyrimidine Metabolism,variance,2,6,0.978494623655914
0,Pyrimidine Metabolism,random,1,5,0.956989247311828
0,Pyrimidine Metabolism,random,2,6,0.978494623655914
0,Tryptophan Metabolism,commutator,1,4,0.8602150537634409
0,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
0,Tryptophan Metabolism,variance,1,4,0.8602150537634409
0,Tryptophan Metabolism,variance,2,5,0.8602150537634409
0,Tryptophan Metabolism,random,1,4,0.8637992831541219
0,Tryptophan Metabolism,random,2,5,0.8602150537634409
1,Arginine and Proline Metabolism,commutator,1,5,1.0
1,Arginine and Proline Metabolism,commutator,2,6,1.0
1,Arginine and Proline Metabolism,variance,1,5,1.0
1,Arginine and Proline Metabolism,variance,2,6,1.0
1,Arginine and Proline Metabolism,random,1,5,1.0
1,Arginine and Proline Metabolism,random,2,6,1.0
1,Purine Metabolism,commutator,1,3,0.9713261648745519
1,Purine Metabolism,commutator,2,4,0.982078853046595
1,Purine Metabolism,variance,1,3,0.8279569892473118
1,Purine Metabolism,variance,2,4,0.982078853046595
1,Purine Metabolism,random,1,3,0.9713261648745519
1,Purine Metabolism,random,2,4,0.982078853046595
1,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
1,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
1,Pyrimidine Metabolism,variance,1,5,0.978494623655914
1,Pyrimidine Metabolism,variance,2,6,0.978494623655914
1,Pyrimidine Metabolism,random,1,5,0.978494623655914
1,Pyrimidine Metabolism,random,2,6,0.978494623655914
1,Tryptophan Metabolism,commutator,1,4,0.7706093189964157
1,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
1,Tryptophan Metabolism,variance,1,4,0.7706093189964157
1,Tryptophan Metabolism,variance,2,5,0.8602150537634409
1,Tryptophan Metabolism,random,1,4,0.935483870967742
1,Tryptophan Metabolism,random,2,5,0.8602150537634409
2,Arginine and Proline Metabolism,commutator,1,5,1.0
2,Arginine and Proline Metabolism,commutator,2,6,1.0
2,Arginine and Proline Metabolism,variance,1,5,1.0
2,Arginine and Proline Metabolism,variance,2,6,1.0
2,Arginine and Proline Metabolism,random,1,5,1.0
2,Arginine and Proline Metabolism,random,2,6,1.0
2,Purine Metabolism,commutator,1,3,0.9713261648745519
2,Purine Metabolism,commutator,2,4,0.982078853046595
2,Purine Metabolism,variance,1,3,0.8279569892473118
2,Purine Metabolism,variance,2,4,0.982078853046595
2,Purine Metabolism,random,1,3,0.8279569892473118
2,Purine Metabolism,random,2,4,0.982078853046595
2,Pyrimidine Metabolism,commutator,1,5,0.982078853046595
2,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
2,Pyrimidine Metabolism,variance,1,5,0.982078853046595
2,Pyrimidine Metabolism,variance,2,6,0.978494623655914
2,Pyrimidine Metabolism,random,1,5,0.982078853046595
2,Pyrimidine Metabolism,random,2,6,0.978494623655914
2,Tryptophan Metabolism,commutator,1,4,0.8602150537634409
2,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
2,Tryptophan Metabolism,variance,1,4,0.8602150537634409
2,Tryptophan Metabolism,variance,2,5,0.8602150537634409
2,Tryptophan Metabolism,random,1,4,0.8602150537634409
2,Tryptophan Metabolism,random,2,5,0.8602150537634409
3,Arginine and Proline Metabolism,commutator,1,5,1.0
3,Arginine and Proline Metabolism,commutator,2,6,1.0
3,Arginine and Proline Metabolism,variance,1,5,1.0
3,Arginine and Proline Metabolism,variance,2,6,1.0
3,Arginine and Proline Metabolism,random,1,5,1.0
3,Arginine and Proline Metabolism,random,2,6,1.0
3,Purine Metabolism,commutator,1,3,0.978494623655914
3,Purine Metabolism,commutator,2,4,0.982078853046595
3,Purine Metabolism,variance,1,3,0.978494623655914
3,Purine Metabolism,variance,2,4,0.982078853046595
3,Purine Metabolism,random,1,3,0.978494623655914
3,Purine Metabolism,random,2,4,0.982078853046595
3,Pyrimidine Metabolism,commutator,1,5,0.971326164874552
3,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
3,Pyrimidine Metabolism,variance,1,5,0.971326164874552
3,Pyrimidine Metabolism,variance,2,6,0.978494623655914
3,Pyrimidine Metabolism,random,1,5,0.971326164874552
3,Pyrimidine Metabolism,random,2,6,0.978494623655914
3,Tryptophan Metabolism,commutator,1,4,0.935483870967742
3,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
3,Tryptophan Metabolism,variance,1,4,0.935483870967742
3,Tryptophan Metabolism,variance,2,5,0.8602150537634409
3,Tryptophan Metabolism,random,1,4,0.8637992831541219
3,Tryptophan Metabolism,random,2,5,0.8602150537634409
4,Arginine and Proline Metabolism,commutator,1,5,0.8279569892473118
4,Arginine and Proline Metabolism,commutator,2,6,1.0
4,Arginine and Proline Metabolism,variance,1,5,0.8279569892473118
4,Arginine and Proline Metabolism,variance,2,6,1.0
4,Arginine and Proline Metabolism,random,1,5,1.0
4,Arginine and Proline Metabolism,random,2,6,1.0
4,Purine Metabolism,commutator,1,3,0.978494623655914
4,Purine Metabolism,commutator,2,4,0.982078853046595
4,Purine Metabolism,variance,1,3,0.978494623655914
4,Purine Metabolism,variance,2,4,0.982078853046595
4,Purine Metabolism,random,1,3,0.9713261648745519
4,Purine Metabolism,random,2,4,0.982078853046595
4,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
4,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
4,Pyrimidine Metabolism,variance,1,5,0.978494623655914
4,Pyrimidine Metabolism,variance,2,6,0.978494623655914
4,Pyrimidine Metabolism,random,1,5,0.978494623655914
4,Pyrimidine Metabolism,random,2,6,0.978494623655914
4,Tryptophan Metabolism,commutator,1,4,0.7706093189964157
4,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
4,Tryptophan Metabolism,variance,1,4,0.7706093189964157
4,Tryptophan Metabolism,variance,2,5,0.8602150537634409
4,Tryptophan Metabolism,random,1,4,0.935483870967742
4,Tryptophan Metabolism,random,2,5,0.8602150537634409
5,Arginine and Proline Metabolism,commutator,1,5,1.0
5,Arginine and Proline Metabolism,commutator,2,6,1.0
5,Arginine and Proline Metabolism,variance,1,5,1.0
5,Arginine and Proline Metabolism,variance,2,6,1.0
5,Arginine and Proline Metabolism,random,1,5,1.0
5,Arginine and Proline Metabolism,random,2,6,1.0
5,Purine Metabolism,commutator,1,3,0.8279569892473118
5,Purine Metabolism,commutator,2,4,0.982078853046595
5,Purine Metabolism,variance,1,3,0.8279569892473118
5,Purine Metabolism,variance,2,4,0.982078853046595
5,Purine Metabolism,random,1,3,0.8279569892473118
5,Purine Metabolism,random,2,4,0.982078853046595
5,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
5,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
5,Pyrimidine Metabolism,variance,1,5,0.978494623655914
5,Pyrimidine Metabolism,variance,2,6,0.978494623655914
5,Pyrimidine Metabolism,random,1,5,0.978494623655914
5,Pyrimidine Metabolism,random,2,6,0.978494623655914
5,Tryptophan Metabolism,commutator,1,4,0.8637992831541219
5,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
5,Tryptophan Metabolism,variance,1,4,0.8637992831541219
5,Tryptophan Metabolism,variance,2,5,0.8602150537634409
5,Tryptophan Metabolism,random,1,4,0.8637992831541219
5,Tryptophan Metabolism,random,2,5,0.8602150537634409
6,Arginine and Proline Metabolism,commutator,1,5,1.0
6,Arginine and Proline Metabolism,commutator,2,6,1.0
6,Arginine and Proline Metabolism,variance,1,5,1.0
6,Arginine and Proline Metabolism,variance,2,6,1.0
6,Arginine and Proline Metabolism,random,1,5,1.0
6,Arginine and Proline Metabolism,random,2,6,1.0
6,Purine Metabolism,commutator,1,3,0.978494623655914
6,Purine Metabolism,commutator,2,4,0.982078853046595
6,Purine Metabolism,variance,1,3,0.978494623655914
6,Purine Metabolism,variance,2,4,0.982078853046595
6,Purine Metabolism,random,1,3,0.9713261648745519
6,Purine Metabolism,random,2,4,0.982078853046595
6,Pyrimidine Metabolism,commutator,1,5,0.978494623655914
6,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
6,Pyrimidine Metabolism,variance,1,5,0.978494623655914
6,Pyrimidine Metabolism,variance,2,6,0.978494623655914
6,Pyrimidine Metabolism,random,1,5,0.978494623655914
6,Pyrimidine Metabolism,random,2,6,0.978494623655914
6,Tryptophan Metabolism,commutator,1,4,0.8602150537634409
6,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
6,Tryptophan Metabolism,variance,1,4,0.8602150537634409
6,Tryptophan Metabolism,variance,2,5,0.8602150537634409
6,Tryptophan Metabolism,random,1,4,0.8637992831541219
6,Tryptophan Metabolism,random,2,5,0.8602150537634409
7,Arginine and Proline Metabolism,commutator,1,5,1.0
7,Arginine and Proline Metabolism,commutator,2,6,1.0
7,Arginine and Proline Metabolism,variance,1,5,1.0
7,Arginine and Proline Metabolism,variance,2,6,1.0
7,Arginine and Proline Metabolism,random,1,5,1.0
7,Arginine and Proline Metabolism,random,2,6,1.0
7,Purine Metabolism,commutator,1,3,0.903225806451613
7,Purine Metabolism,commutator,2,4,0.982078853046595
7,Purine Metabolism,variance,1,3,0.903225806451613
7,Purine Metabolism,variance,2,4,0.982078853046595
7,Purine Metabolism,random,1,3,0.903225806451613
7,Purine Metabolism,random,2,4,0.982078853046595
7,Pyrimidine Metabolism,commutator,1,5,0.982078853046595
7,Pyrimidine Metabolism,commutator,2,6,0.978494623655914
7,Pyrimidine Metabolism,variance,1,5,0.982078853046595
7,Pyrimidine Metabolism,variance,2,6,0.978494623655914
7,Pyrimidine Metabolism,random,1,5,0.982078853046595
7,Pyrimidine Metabolism,random,2,6,0.978494623655914
7,Tryptophan Metabolism,commutator,1,4,0.8602150537634409
7,Tryptophan Metabolism,commutator,2,5,0.8602150537634409
7,Tryptophan Metabolism,variance,1,4,0.8602150537634409
7,Tryptophan Metabolism,variance,2,5,0.8602150537634409
7,Tryptophan Metabolism,random,1,4,0.8602150537634409
