trial,pathway,n_nodes,n_hidden_init,strategy,step,delta_uk,uk_current,oracle_top1
0,Arginine and Proline Metabolism,6,2,commutator,1,-0.1637443737061055,2.831056467299049,1
0,Arginine and Proline Metabolism,6,2,commutator,2,-0.3325560157417624,3.1636124830408114,0
0,Arginine and Proline Metabolism,6,2,variance,1,-0.1637443737061055,2.831056467299049,1
0,Arginine and Proline Metabolism,6,2,variance,2,-0.3325560157417624,3.1636124830408114,0
0,Arginine and Proline Metabolism,6,2,random,1,-0.1637443737061055,2.831056467299049,1
0,Arginine and Proline Metabolism,6,2,random,2,-0.3325560157417624,3.1636124830408114,0
0,Purine Metabolism,4,2,commutator,1,-0.33570429592603324,2.4169516289868036,1
0,Purine Metabolism,4,2,commutator,2,-0.5257564962164749,2.9427081252032785,0
0,Purine Metabolism,4,2,variance,1,-0.33570429592603324,2.4169516289868036,1
0,Purine Metabolism,4,2,variance,2,-0.5257564962164749,2.9427081252032785,0
0,Purine Metabolism,4,2,random,1,-0.7640027304308084,2.8452500634915787,0
0,Purine Metabolism,4,2,random,2,-0.0974580617116998,2.9427081252032785,0
0,Pyrimidine Metabolism,6,2,commutator,1,-0.4249090979988721,3.9353525967108527,0
0,Pyrimidine Metabolism,6,2,commutator,2,-0.412760452928556,4.348113049639409,0
0,Pyrimidine Metabolism,6,2,variance,1,-0.4249090979988721,3.9353525967108527,0
0,Pyrimidine Metabolism,6,2,variance,2,-0.412760452928556,4.348113049639409,0
0,Pyrimidine Metabolism,6,2,random,1,-0.395615306063676,3.9060588047756566,1
0,Pyrimidine Metabolism,6,2,random,2,-0.4420542448637521,4.348113049639409,0
0,Tryptophan Metabolism,5,2,commutator,1,-0.019150574933783915,2.2269374491509737,1
0,Tryptophan Metabolism,5,2,commutator,2,-0.5558743318817534,2.782811781032727,0
0,Tryptophan Metabolism,5,2,variance,1,-0.019150574933783915,2.2269374491509737,1
0,Tryptophan Metabolism,5,2,variance,2,-0.5558743318817534,2.782811781032727,0
0,Tryptophan Metabolism,5,2,random,1,-0.5549019994178184,2.762688873635008,0
0,Tryptophan Metabolism,5,2,random,2,-0.020122907397718937,2.782811781032727,0
1,Arginine and Proline Metabolism,6,2,commutator,1,-0.24363452133241958,2.831056467299049,1
1,Arginine and Proline Metabolism,6,2,commutator,2,-0.3325560157417624,3.1636124830408114,0
1,Arginine and Proline Metabolism,6,2,variance,1,-0.24363452133241958,2.831056467299049,1
1,Arginine and Proline Metabolism,6,2,variance,2,-0.3325560157417624,3.1636124830408114,0
1,Arginine and Proline Metabolism,6,2,random,1,-0.24363452133241958,2.831056467299049,1
1,Arginine and Proline Metabolism,6,2,random,2,-0.3325560157417624,3.1636124830408114,0
